Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Good or bad indicator
<0DM,36,existing credits paid back duly till now,furniture/equipment,3446,<100DM,>=7years,4,male:single,none,2,car or other,42,none,own,1,0,2,no,yes,1
"[0DM,200DM]",18,existing credits paid back duly till now,furniture/equipment,3001,<100DM,"[4,7years]",2,female:divorced/separated/married,none,4,real estate,40,none,rent,1,0,1,no,yes,0
no checking account,36,existing credits paid back duly till now,car(new),3079,unknown,"[1,4years]",4,male:single,none,4,real estate,36,none,own,1,0,1,no,yes,0
no checking account,18,critical account,radio/television,6070,<100DM,>=7years,3,male:single,none,4,car or other,33,none,own,2,0,1,yes,yes,0
no checking account,10,critical account,furniture/equipment,2146,<100DM,<1year,1,female:divorced/separated/married,none,3,real estate,23,none,rent,2,0,1,no,yes,0
no checking account,60,critical account,car(new),13756,unknown,>=7years,2,male:single,none,4,no property,63, bank,for free,1,0,1,yes,yes,0
"[0DM,200DM]",60,all credits at this bank paid back duly,car(used)0,14782,"[100,500DM]",>=7years,3,female:divorced/separated/married,none,4,no property,60, bank,for free,2,0,1,yes,yes,1
<0DM,48,all credits at this bank paid back duly,business,7685,<100DM,"[4,7years]",2,female:divorced/separated/married,guarantor,4,car or other,37,none,rent,1,0,1,no,yes,1
no checking account,18,delay in paying off in the past,radio/television,2320,<100DM,unemployed,2,male:married/widowed,none,3,real estate,34,none,own,2,0,1,no,yes,0
no checking account,7,delay in paying off in the past,radio/television,846,unknown,>=7years,3,male:single,none,4,no property,36,none,for free,1,0,1,no,yes,0
"[0DM,200DM]",36,existing credits paid back duly till now,car(new),14318,<100DM,>=7years,4,male:single,none,2,no property,57,none,for free,1,0,1,yes,yes,1
no checking account,6,critical account,car(new),362,"[100,500DM]","[1,4years]",4,female:divorced/separated/married,none,4,car or other,52,none,own,2,0,1,no,yes,0
<0DM,20,existing credits paid back duly till now,furniture/equipment,2212,unknown,"[4,7years]",4,male:single,none,4,car or other,39,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,car(used),12976,<100DM,unemployed,3,female:divorced/separated/married,none,4,no property,38,none,for free,1,1,1,yes,yes,1
no checking account,22,existing credits paid back duly till now,car(new),1283,unknown,"[4,7years]",4,female:divorced/separated/married,none,4,life insurance,25,none,rent,1,0,1,no,yes,0
>=200DM,12,existing credits paid back duly till now,car(new),1330,<100DM,<1year,4,male:single,none,1,real estate,26,none,own,1,0,1,no,yes,0
no checking account,30,delay in paying off in the past,business,4272,"[100,500DM]","[1,4years]",2,male:single,none,2,life insurance,26,none,own,2,0,1,no,yes,0
no checking account,18,critical account,radio/television,2238,<100DM,"[1,4years]",2,female:divorced/separated/married,none,1,car or other,25,none,own,2,0,1,no,yes,0
no checking account,18,existing credits paid back duly till now,radio/television,1126,unknown,<1year,4,female:divorced/separated/married,none,2,real estate,21,none,rent,1,0,1,yes,yes,0
"[0DM,200DM]",18,critical account,furniture/equipment,7374,<100DM,unemployed,4,male:single,none,4,life insurance,40,stores,own,2,0,1,yes,yes,0
"[0DM,200DM]",15,critical account,business,2326,"[500,1000DM]","[1,4years]",2,male:single,none,4,car or other,27, bank,own,1,0,1,no,yes,0
no checking account,9,existing credits paid back duly till now,business,1449,<100DM,"[4,7years]",3,female:divorced/separated/married,none,2,car or other,27,none,own,2,0,1,no,yes,0
no checking account,18,existing credits paid back duly till now,car(new),1820,<100DM,"[1,4years]",2,male:married/widowed,none,2,life insurance,30,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,furniture/equipment,983,>=1000DM,<1year,1,female:divorced/separated/married,none,4,real estate,19,none,rent,1,0,1,no,yes,0
<0DM,36,existing credits paid back duly till now,car(new),3249,<100DM,"[4,7years]",2,male:single,none,4,no property,39, bank,for free,1,0,2,yes,yes,0
<0DM,6,critical account,radio/television,1957,<100DM,"[4,7years]",1,female:divorced/separated/married,none,4,car or other,31,none,own,1,0,1,no,yes,0
no checking account,9,critical account,furniture/equipment,2406,<100DM,unemployed,2,male:single,none,3,car or other,31,none,own,1,0,1,no,yes,0
"[0DM,200DM]",39,delay in paying off in the past,education,11760,"[100,500DM]","[4,7years]",2,male:single,none,3,no property,32,none,rent,1,0,1,yes,yes,0
<0DM,12,existing credits paid back duly till now,furniture/equipment,2578,<100DM,unemployed,3,female:divorced/separated/married,none,4,no property,55,none,for free,1,0,1,no,yes,0
<0DM,36,critical account,furniture/equipment,2348,<100DM,"[1,4years]",3,male:married/widowed,none,2,life insurance,46,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,car(new),1223,<100DM,>=7years,1,male:divorced/separated,none,1,real estate,46,none,rent,2,0,1,no,yes,1
no checking account,24,critical account,radio/television,1516,>=1000DM,"[1,4years]",4,female:divorced/separated/married,none,1,real estate,43,none,own,2,0,1,no,yes,0
no checking account,18,existing credits paid back duly till now,radio/television,1473,<100DM,<1year,3,male:married/widowed,none,4,real estate,39,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",18,critical account,business,1887,unknown,"[1,4years]",4,male:married/widowed,none,4,real estate,28, bank,own,2,0,1,no,yes,0
no checking account,24,delay in paying off in the past,business,8648,<100DM,<1year,2,male:single,none,2,car or other,27, bank,own,2,0,1,yes,yes,1
no checking account,14,delay in paying off in the past,car(new),802,<100DM,"[1,4years]",4,male:single,none,2,car or other,27,none,own,2,0,1,no,yes,0
"[0DM,200DM]",18,delay in paying off in the past,car(new),2899,unknown,>=7years,4,male:single,none,4,car or other,43,none,own,1,0,2,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,radio/television,2039,<100DM,<1year,1,male:married/widowed,none,1,life insurance,22,none,own,1,0,1,yes,yes,1
no checking account,24,critical account,car(used),2197,unknown,"[4,7years]",4,male:single,none,4,car or other,43,none,own,2,1,2,yes,yes,0
<0DM,15,existing credits paid back duly till now,radio/television,1053,<100DM,<1year,4,male:married/widowed,none,2,real estate,27,none,own,1,0,1,no,no,0
no checking account,24,existing credits paid back duly till now,radio/television,3235,"[500,1000DM]",>=7years,3,male:divorced/separated,none,2,car or other,26,none,own,1,0,1,yes,yes,0
>=200DM,12,critical account,car(new),939,"[500,1000DM]","[4,7years]",4,male:married/widowed,none,2,real estate,28,none,own,3,0,1,yes,yes,1
"[0DM,200DM]",24,existing credits paid back duly till now,radio/television,1967,<100DM,>=7years,4,female:divorced/separated/married,none,4,car or other,20,none,own,1,0,1,yes,yes,0
no checking account,33,critical account,car(used),7253,<100DM,"[4,7years]",3,male:single,none,2,car or other,35,none,own,2,1,1,yes,yes,0
no checking account,12,critical account,business,2292,<100DM,unemployed,4,male:single,none,2,car or other,42,stores,own,2,0,1,yes,yes,1
no checking account,10,existing credits paid back duly till now,car(new),1597,"[500,1000DM]","[1,4years]",3,male:single,none,2,no property,40,none,rent,1,0,2,no,no,0
<0DM,24,existing credits paid back duly till now,car(new),1381,unknown,"[1,4years]",4,female:divorced/separated/married,none,2,life insurance,35,none,own,1,0,1,no,yes,1
no checking account,36,critical account,car(used),5842,<100DM,>=7years,2,male:single,none,2,life insurance,35,none,own,2,1,2,yes,yes,0
<0DM,12,existing credits paid back duly till now,car(new),2579,<100DM,<1year,4,male:single,none,1,real estate,33,none,own,1,0,2,no,yes,1
<0DM,18,delay in paying off in the past,education,8471,unknown,"[1,4years]",1,female:divorced/separated/married,none,2,car or other,23,none,rent,2,0,1,yes,yes,0
no checking account,21,existing credits paid back duly till now,car(new),2782,"[500,1000DM]","[4,7years]",1,female:divorced/separated/married,none,2,car or other,31, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,car(new),1042,unknown,"[1,4years]",4,female:divorced/separated/married,none,2,life insurance,33,none,own,1,0,1,no,yes,1
no checking account,15,existing credits paid back duly till now,car(new),3186,>=1000DM,"[4,7years]",2,female:divorced/separated/married,none,3,car or other,20,none,rent,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,car(used),2028,unknown,"[1,4years]",4,male:single,none,2,car or other,30,none,own,1,1,1,no,yes,0
"[0DM,200DM]",12,critical account,car(new),958,<100DM,"[4,7years]",2,male:single,none,3,real estate,47,none,own,2,0,2,no,yes,0
no checking account,21,delay in paying off in the past,furniture/equipment,1591,"[100,500DM]","[4,7years]",4,male:single,none,3,real estate,34,none,own,2,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,furniture/equipment,2762,unknown,>=7years,1,female:divorced/separated/married,none,2,life insurance,25, bank,own,1,0,1,yes,yes,1
"[0DM,200DM]",18,existing credits paid back duly till now,car(used),2779,<100DM,"[1,4years]",1,male:married/widowed,none,3,car or other,21,none,rent,1,1,1,yes,yes,0
no checking account,28,critical account,radio/television,2743,<100DM,>=7years,4,male:single,none,2,car or other,29,none,own,2,0,1,no,yes,0
no checking account,18,critical account,radio/television,1149,>=1000DM,"[1,4years]",4,male:single,none,3,real estate,46,none,own,2,0,1,no,yes,0
no checking account,9,existing credits paid back duly till now,furniture/equipment,1313,<100DM,>=7years,1,male:single,none,4,car or other,20,none,own,1,0,1,no,yes,0
<0DM,18,critical account,repairs,1190,<100DM,unemployed,2,female:divorced/separated/married,none,4,no property,55,none,for free,3,0,2,no,yes,1
no checking account,5,existing credits paid back duly till now,business,3448,<100DM,"[4,7years]",1,male:single,none,4,real estate,74,none,own,1,0,1,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,car(used)0,11328,<100DM,"[1,4years]",2,male:single,co-applicant,3,car or other,29, bank,own,2,0,1,yes,yes,1
<0DM,6,critical account,furniture/equipment,1872,<100DM,unemployed,4,male:single,none,4,no property,36,none,for free,3,0,1,yes,yes,0
no checking account,24,critical account,repairs,2058,<100DM,"[1,4years]",4,male:divorced/separated,none,2,real estate,33,none,own,2,0,1,yes,yes,0
<0DM,9,existing credits paid back duly till now,furniture/equipment,2136,<100DM,"[1,4years]",3,male:single,none,2,real estate,25,none,own,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,1484,unknown,"[1,4years]",2,male:married/widowed,none,1,real estate,25,none,own,1,0,1,yes,yes,1
no checking account,6,existing credits paid back duly till now,repairs,660,"[500,1000DM]","[4,7years]",2,male:married/widowed,none,4,real estate,23,none,rent,1,0,1,no,yes,0
no checking account,24,critical account,car(new),1287,>=1000DM,>=7years,4,female:divorced/separated/married,none,4,real estate,37,none,own,2,0,1,yes,yes,0
<0DM,42,critical account,repairs,3394,<100DM,unemployed,4,male:single,co-applicant,4,car or other,65,none,own,2,0,1,no,yes,0
>=200DM,12,all credits at this bank paid back duly,business,609,<100DM,<1year,4,female:divorced/separated/married,none,1,real estate,26,none,own,1,0,1,no,yes,1
no checking account,12,existing credits paid back duly till now,car(new),1884,<100DM,>=7years,4,male:single,none,4,car or other,39,none,own,1,0,1,yes,yes,0
<0DM,12,existing credits paid back duly till now,furniture/equipment,1620,<100DM,"[1,4years]",2,female:divorced/separated/married,co-applicant,3,life insurance,30,none,own,1,0,1,no,yes,0
"[0DM,200DM]",20,delay in paying off in the past,car(used)0,2629,<100DM,"[1,4years]",2,male:single,none,3,car or other,29, bank,own,2,0,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,education,719,<100DM,>=7years,4,male:single,none,4,car or other,41, bank,own,1,0,2,no,yes,1
"[0DM,200DM]",48,critical account,furniture/equipment,5096,<100DM,"[1,4years]",2,female:divorced/separated/married,none,3,car or other,30,none,own,1,0,1,yes,yes,1
no checking account,9,critical account,education,1244,unknown,>=7years,4,female:divorced/separated/married,none,4,life insurance,41,none,rent,2,0,1,no,yes,0
<0DM,36,existing credits paid back duly till now,car(new),1842,<100DM,<1year,4,female:divorced/separated/married,none,4,car or other,34,none,own,1,0,1,yes,yes,1
"[0DM,200DM]",7,existing credits paid back duly till now,radio/television,2576,<100DM,"[1,4years]",2,male:single,guarantor,2,real estate,35,none,own,1,0,1,no,yes,0
>=200DM,12,existing credits paid back duly till now,furniture/equipment,1424,unknown,>=7years,3,female:divorced/separated/married,none,4,real estate,55,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",15,delay in paying off in the past,repairs,1512,>=1000DM,"[1,4years]",3,male:married/widowed,none,3,life insurance,61,stores,own,2,0,1,no,yes,1
no checking account,36,critical account,car(used),11054,unknown,"[1,4years]",4,male:single,none,2,car or other,30,none,own,1,1,1,yes,yes,0
no checking account,6,existing credits paid back duly till now,radio/television,518,<100DM,"[1,4years]",3,female:divorced/separated/married,none,1,real estate,29,none,own,1,0,1,no,yes,0
no checking account,12,nocreditstaken,furniture/equipment,2759,<100DM,>=7years,2,male:single,none,4,life insurance,34,none,own,2,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,car(used),2670,<100DM,>=7years,4,male:single,none,4,car or other,35,none,own,1,1,1,yes,yes,0
<0DM,24,existing credits paid back duly till now,car(new),4817,<100DM,"[4,7years]",2,male:single,co-applicant,3,life insurance,31,none,own,1,0,1,yes,yes,1
no checking account,24,existing credits paid back duly till now,car(used),2679,<100DM,<1year,4,female:divorced/separated/married,none,1,no property,29,none,own,1,1,1,yes,yes,0
<0DM,11,critical account,car(new),3905,<100DM,"[1,4years]",2,male:single,none,2,real estate,36,none,rent,2,0,2,no,yes,0
<0DM,12,existing credits paid back duly till now,car(used),3386,<100DM,>=7years,3,male:single,none,4,no property,35,none,for free,1,1,1,yes,yes,1
<0DM,6,existing credits paid back duly till now,domesticappliances,343,<100DM,<1year,4,female:divorced/separated/married,none,1,real estate,27,none,own,1,0,1,no,yes,0
no checking account,18,existing credits paid back duly till now,radio/television,4594,<100DM,<1year,3,male:single,none,2,car or other,32,none,own,1,0,1,yes,yes,0
<0DM,36,existing credits paid back duly till now,furniture/equipment,3620,<100DM,"[1,4years]",1,male:single,guarantor,2,life insurance,37,none,own,1,0,2,no,yes,0
<0DM,15,existing credits paid back duly till now,car(new),1721,<100DM,<1year,2,male:single,none,3,real estate,36,none,own,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,furniture/equipment,3017,<100DM,<1year,3,female:divorced/separated/married,none,1,real estate,34,none,rent,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,retraining,754,unknown,>=7years,4,male:single,none,4,life insurance,38,none,own,2,0,1,no,yes,0
no checking account,18,existing credits paid back duly till now,business,1950,<100DM,"[4,7years]",4,male:single,none,1,car or other,34,stores,own,2,0,1,yes,yes,0
<0DM,24,existing credits paid back duly till now,car(used),2924,<100DM,"[1,4years]",3,male:single,guarantor,4,no property,63, bank,own,1,1,2,yes,yes,0
<0DM,24,delay in paying off in the past,radio/television,1659,<100DM,<1year,4,female:divorced/separated/married,none,2,car or other,29,none,rent,1,0,1,yes,yes,1
no checking account,48,delay in paying off in the past,radio/television,7238,unknown,>=7years,3,male:single,none,3,car or other,32, bank,own,2,0,2,no,yes,0
no checking account,33,delay in paying off in the past,business,2764,<100DM,"[1,4years]",2,female:divorced/separated/married,none,2,car or other,26,none,own,2,0,1,yes,yes,0
no checking account,24,delay in paying off in the past,car(used),4679,<100DM,"[4,7years]",3,male:single,none,3,car or other,35,none,own,2,1,1,yes,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,radio/television,3092,"[100,500DM]",<1year,3,male:married/widowed,none,2,car or other,22,none,rent,1,0,1,yes,yes,1
<0DM,6,existing credits paid back duly till now,education,448,<100DM,<1year,4,female:divorced/separated/married,none,4,life insurance,23,none,own,1,0,1,no,yes,1
<0DM,9,existing credits paid back duly till now,car(new),654,<100DM,"[1,4years]",4,male:single,none,3,car or other,28,none,own,1,0,1,no,yes,1
no checking account,6,existing credits paid back duly till now,retraining,1238,unknown,unemployed,4,male:single,none,4,life insurance,36,none,own,1,0,2,yes,yes,0
"[0DM,200DM]",18,critical account,radio/television,1245,<100DM,"[1,4years]",4,male:married/widowed,none,2,car or other,33,none,own,1,0,1,no,yes,1
<0DM,18,nocreditstaken,furniture/equipment,3114,<100DM,<1year,1,female:divorced/separated/married,none,4,life insurance,26,none,rent,1,0,1,no,yes,1
no checking account,39,existing credits paid back duly till now,car(used),2569,"[500,1000DM]","[1,4years]",4,male:single,none,4,car or other,24,none,own,1,1,1,no,yes,0
>=200DM,24,existing credits paid back duly till now,radio/television,5152,<100DM,"[4,7years]",4,male:single,none,2,car or other,25, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,business,1037,"[100,500DM]","[4,7years]",3,male:single,none,4,real estate,39,none,own,1,0,1,no,yes,0
<0DM,15,critical account,furniture/equipment,1478,<100DM,>=7years,4,male:single,none,4,car or other,44,none,own,2,0,2,yes,yes,0
"[0DM,200DM]",12,critical account,radio/television,3573,<100DM,"[1,4years]",1,female:divorced/separated/married,none,1,real estate,23,none,own,1,0,1,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,car(new),1201,<100DM,<1year,4,male:single,none,1,life insurance,26,none,own,1,0,1,no,yes,0
<0DM,30,existing credits paid back duly till now,furniture/equipment,3622,>=1000DM,>=7years,4,female:divorced/separated/married,none,4,life insurance,57,none,rent,2,0,1,yes,yes,0
no checking account,15,delay in paying off in the past,furniture/equipment,960,>=1000DM,"[4,7years]",3,female:divorced/separated/married,none,2,life insurance,30,none,own,2,0,1,no,yes,0
no checking account,12,critical account,car(new),1163,"[500,1000DM]","[1,4years]",4,male:single,none,4,real estate,44,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",6,delay in paying off in the past,car(new),1209,<100DM,unemployed,4,male:single,none,4,life insurance,47,none,own,1,0,1,yes,yes,1
no checking account,12,existing credits paid back duly till now,radio/television,3077,<100DM,"[1,4years]",2,male:single,none,4,car or other,52,none,own,1,0,1,yes,yes,0
no checking account,24,existing credits paid back duly till now,car(new),3757,<100DM,>=7years,4,female:divorced/separated/married,co-applicant,4,no property,62,none,for free,1,0,1,yes,yes,0
no checking account,10,existing credits paid back duly till now,car(new),1418,"[100,500DM]","[1,4years]",3,male:single,none,2,real estate,35,none,rent,1,0,1,no,no,0
no checking account,6,existing credits paid back duly till now,car(new),3518,<100DM,"[1,4years]",2,male:single,guarantor,3,life insurance,26,none,rent,1,0,1,no,yes,0
no checking account,12,critical account,radio/television,1934,<100DM,>=7years,2,male:single,none,2,no property,26,none,own,2,0,1,no,yes,0
"[0DM,200DM]",27,nocreditstaken,business,8318,<100DM,>=7years,2,female:divorced/separated/married,none,4,no property,42,none,for free,2,0,1,yes,yes,1
no checking account,6,critical account,radio/television,1237,"[100,500DM]","[1,4years]",1,female:divorced/separated/married,none,1,life insurance,27,none,own,2,0,1,no,yes,0
"[0DM,200DM]",6,existing credits paid back duly till now,radio/television,368,unknown,>=7years,4,male:single,none,4,life insurance,38,none,own,1,0,1,no,yes,0
<0DM,12,critical account,car(new),2122,<100DM,"[1,4years]",3,male:single,none,2,real estate,39,none,rent,2,0,2,no,no,0
<0DM,24,existing credits paid back duly till now,furniture/equipment,2996,unknown,"[1,4years]",2,male:married/widowed,none,4,car or other,20,none,own,1,0,1,no,yes,1
"[0DM,200DM]",36,existing credits paid back duly till now,furniture/equipment,9034,"[100,500DM]",<1year,4,male:single,co-applicant,1,no property,29,none,rent,1,0,1,yes,yes,1
no checking account,24,critical account,furniture/equipment,1585,<100DM,"[4,7years]",4,male:single,none,3,life insurance,40,none,own,2,0,1,no,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,radio/television,1301,<100DM,>=7years,4,male:married/widowed,guarantor,2,real estate,32,none,own,1,0,1,no,yes,0
>=200DM,6,critical account,car(new),1323,"[100,500DM]",>=7years,2,male:divorced/separated,none,4,car or other,28,none,own,2,0,2,yes,yes,0
<0DM,24,existing credits paid back duly till now,car(new),3123,<100DM,<1year,4,female:divorced/separated/married,none,1,life insurance,27,none,own,1,0,1,no,yes,1
<0DM,36,existing credits paid back duly till now,car(used),5493,<100DM,>=7years,2,male:single,none,4,no property,42,none,for free,1,1,2,no,yes,0
>=200DM,9,existing credits paid back duly till now,radio/television,1126,"[100,500DM]",>=7years,2,male:divorced/separated,none,4,real estate,49,none,own,1,0,1,no,yes,0
"[0DM,200DM]",24,critical account,radio/television,1216,"[100,500DM]",<1year,4,male:single,none,4,no property,38, bank,own,2,0,2,no,yes,1
<0DM,24,existing credits paid back duly till now,car(new),1207,<100DM,<1year,4,female:divorced/separated/married,none,4,life insurance,24,none,rent,1,0,1,no,yes,1
no checking account,10,existing credits paid back duly till now,car(new),1309,unknown,"[1,4years]",4,male:single,guarantor,4,life insurance,27,none,own,1,0,1,no,yes,1
>=200DM,15,critical account,car(used),2360,"[500,1000DM]","[1,4years]",2,male:single,none,2,car or other,36,none,own,1,1,1,yes,yes,0
"[0DM,200DM]",15,all credits at this bank paid back duly,car(new),6850,"[100,500DM]",unemployed,1,male:single,none,2,life insurance,34,none,own,1,0,2,yes,yes,1
no checking account,24,existing credits paid back duly till now,radio/television,1413,<100DM,"[1,4years]",4,male:married/widowed,none,2,life insurance,28,none,own,1,0,1,no,yes,0
no checking account,39,existing credits paid back duly till now,car(used),8588,"[100,500DM]",>=7years,4,male:single,none,2,car or other,45,none,own,1,1,1,yes,yes,0
<0DM,12,existing credits paid back duly till now,car(new),759,<100DM,"[4,7years]",4,male:single,none,2,real estate,26,none,own,1,0,1,no,yes,1
no checking account,36,existing credits paid back duly till now,car(used),4686,<100DM,"[1,4years]",2,male:single,none,2,no property,32,none,for free,1,1,1,yes,yes,0
>=200DM,15,existing credits paid back duly till now,business,2687,<100DM,"[4,7years]",2,male:single,none,4,life insurance,26,none,rent,1,0,1,yes,yes,0
"[0DM,200DM]",12,delay in paying off in the past,radio/television,585,<100DM,"[1,4years]",4,male:married/widowed,co-applicant,4,real estate,20,none,rent,2,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,car(new),2255,unknown,<1year,4,male:single,none,1,life insurance,54,none,own,1,0,1,no,yes,0
<0DM,6,critical account,car(new),609,<100DM,"[4,7years]",4,female:divorced/separated/married,none,3,life insurance,37,none,own,2,0,1,no,no,0
<0DM,6,critical account,car(new),1361,<100DM,<1year,2,male:single,none,4,real estate,40,none,own,1,0,2,no,no,0
no checking account,36,critical account,furniture/equipment,7127,<100DM,<1year,2,female:divorced/separated/married,none,4,life insurance,23,none,rent,2,0,1,yes,yes,1
<0DM,6,existing credits paid back duly till now,car(new),1203,"[100,500DM]",>=7years,3,male:single,none,2,life insurance,43,none,own,1,0,1,yes,yes,0
no checking account,6,critical account,radio/television,700,unknown,>=7years,4,male:single,none,4,no property,36,none,for free,2,0,1,no,yes,0
no checking account,24,critical account,repairs,5507,<100DM,>=7years,3,male:single,none,4,no property,44,none,for free,2,0,1,no,yes,0
<0DM,18,existing credits paid back duly till now,radio/television,3190,<100DM,"[1,4years]",2,female:divorced/separated/married,none,2,real estate,24,none,own,1,0,1,no,yes,1
<0DM,48,nocreditstaken,furniture/equipment,7119,<100DM,"[1,4years]",3,male:single,none,4,no property,53,none,for free,2,0,2,no,yes,1
no checking account,24,existing credits paid back duly till now,car(used),3488,"[100,500DM]","[4,7years]",3,female:divorced/separated/married,none,4,car or other,23,none,own,1,1,1,no,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,radio/television,1113,<100DM,"[1,4years]",4,female:divorced/separated/married,guarantor,4,real estate,26,none,own,1,0,2,no,yes,0
"[0DM,200DM]",26,existing credits paid back duly till now,car(used),7966,<100DM,<1year,2,male:single,none,3,car or other,30,none,own,2,1,1,no,yes,0
no checking account,15,critical account,education,1532,"[100,500DM]","[1,4years]",4,female:divorced/separated/married,none,3,car or other,31,none,own,1,0,1,no,yes,0
no checking account,4,critical account,radio/television,1503,<100DM,"[4,7years]",2,male:single,none,1,real estate,42,none,own,2,0,2,no,yes,0
<0DM,36,existing credits paid back duly till now,radio/television,2302,<100DM,"[1,4years]",4,male:divorced/separated,none,4,car or other,31,none,rent,1,0,1,no,yes,1
<0DM,6,existing credits paid back duly till now,car(new),662,<100DM,<1year,3,male:single,none,4,real estate,41,none,own,1,0,2,yes,yes,0
"[0DM,200DM]",36,existing credits paid back duly till now,education,2273,<100DM,"[4,7years]",3,male:single,none,1,car or other,32,none,own,2,0,2,no,yes,0
"[0DM,200DM]",15,existing credits paid back duly till now,car(new),2631,"[100,500DM]","[1,4years]",2,female:divorced/separated/married,none,4,car or other,28,none,rent,2,0,1,yes,yes,1
no checking account,12,delay in paying off in the past,car(used),1503,<100DM,"[1,4years]",4,male:married/widowed,none,4,real estate,41,none,rent,1,1,1,no,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,1311,"[100,500DM]","[4,7years]",4,male:married/widowed,none,3,life insurance,26,none,own,1,0,1,yes,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown,<1year,4,male:single,none,2,car or other,25,none,own,2,0,1,no,yes,0
>=200DM,21,critical account,education,2319,<100DM,<1year,2,male:divorced/separated,none,1,car or other,33,none,rent,1,0,1,no,yes,1
<0DM,6,existing credits paid back duly till now,car(new),1374,unknown,unemployed,4,female:divorced/separated/married,none,3,life insurance,75,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",18,critical account,furniture/equipment,3612,<100DM,>=7years,3,female:divorced/separated/married,none,4,life insurance,37,none,own,1,0,1,yes,yes,0
<0DM,48,existing credits paid back duly till now,car(new),7763,<100DM,>=7years,4,male:single,none,4,no property,42, bank,for free,1,0,1,no,yes,1
>=200DM,18,existing credits paid back duly till now,furniture/equipment,3049,<100DM,<1year,1,female:divorced/separated/married,none,1,life insurance,45,stores,own,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,1534,<100DM,<1year,1,male:married/widowed,none,1,real estate,23,none,rent,1,0,1,no,yes,1
no checking account,24,delay in paying off in the past,car(new),2032,<100DM,>=7years,4,male:single,none,4,no property,60,none,for free,2,0,1,yes,yes,0
<0DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown,>=7years,4,male:single,none,4,life insurance,31,none,own,1,0,1,no,yes,1
>=200DM,18,existing credits paid back duly till now,furniture/equipment,2864,<100DM,"[1,4years]",2,male:single,none,1,real estate,34,none,own,1,0,2,no,yes,1
no checking account,12,critical account,car(new),1255,<100DM,>=7years,4,male:single,none,4,real estate,61,none,own,2,0,1,no,yes,0
<0DM,24,delay in paying off in the past,car(new),1333,<100DM,unemployed,4,male:single,none,2,real estate,43,none,for free,2,0,2,no,yes,1
no checking account,24,critical account,car(new),2022,<100DM,"[1,4years]",4,female:divorced/separated/married,none,4,car or other,37,none,own,1,0,1,yes,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,1552,<100DM,"[4,7years]",3,male:single,none,1,car or other,32, bank,own,1,0,2,no,yes,0
<0DM,12,all credits at this bank paid back duly,radio/television,626,<100DM,"[1,4years]",4,female:divorced/separated/married,none,4,real estate,24, bank,own,1,0,1,no,yes,1
no checking account,48,critical account,car(used),8858,unknown,"[4,7years]",2,male:single,none,1,no property,35,none,for free,2,1,1,yes,yes,0
no checking account,12,critical account,repairs,996,unknown,"[4,7years]",4,female:divorced/separated/married,none,4,real estate,23,none,own,2,0,1,no,yes,0
no checking account,6,all credits at this bank paid back duly,radio/television,1750,"[500,1000DM]",>=7years,2,male:single,none,4,life insurance,45, bank,own,1,0,2,no,yes,0
<0DM,48,existing credits paid back duly till now,radio/television,6999,<100DM,"[4,7years]",1,male:married/widowed,guarantor,1,real estate,34,none,own,2,0,1,yes,yes,1
